Country,Mintage_year,Mint_count,Description,Image,YearID,Price,Country_map_name
France,2011,10000000,30th anniversary of the Day of Music,https://www.coin-database.com/images/France/295-v.jpg,0,4.9,France
Monaco,2011,147877,The wedding of Prince Albert and Charlene Wittstock,https://www.coin-database.com/images/Monaco/302-v.jpg,0,85.0,Monaco
Portugal,2011,520000,500th annivesary of the birth of Fernão Mendes Pinto,https://www.coin-database.com/images/Portugal/294-v.jpg,0,8.9,Portugal
Malta,2011,430000,Constitutional history – first election of representatives in 1849,https://www.coin-database.com/images/Malta/298-v.jpg,0,17.0,Malta
Finland,2011,1500000,200th anniversary of Bank of Finland,https://www.coin-database.com/images/Finland/305-v.jpg,0,5.5,Suomi/Finland
Vatican City,2011,115000,XXVI World Youth Day Madrid 2011,https://www.coin-database.com/images/Vatican-City/300-v.jpg,0,43.9,Vatican City
France,2012,1020000,100th Anniversary of Abbé Pierre’s birth,https://www.coin-database.com/images/France/1806-v.jpg,0,3.99,France
Vatican City,2012,115000,7th  World Meeting of Families,https://www.coin-database.com/images/Vatican-City/2115-v.jpg,0,42.9,Vatican City
Luxembourg,2012,512000,Royal Wedding,https://www.coin-database.com/images/Luxembourg/3184-v.jpg,0,4.6,Luxembourg
Germany,2012,30112000,Bavaria,https://www.coin-database.com/images/Germany/306-v.jpg,0,3.3,Deutschland
Luxembourg,2012,710000,100th Anniversary of the death of the William IV,https://www.coin-database.com/images/Luxembourg/310-v.jpg,1,3.99,Luxembourg
Spain,2012,8000000,The Burgos Cathedral,https://www.coin-database.com/images/Spain/1589-v.jpg,0,4.2,España
Italy,2012,15000000,100th Anniversary of the Death of Giovanni Pascoli,https://www.coin-database.com/images/Italy/2383-v.jpg,0,4.9,Italia
Belgium,2012,5000000,75 years Queen Elisabeth Competition,https://www.coin-database.com/images/Belgium/884-v.jpg,0,4.5,Belgique/België
Portugal,2012,520000,Guimarães - Capital Europeia da Cultura em 2012,https://www.coin-database.com/images/Portugal/309-v.jpg,0,5.0,Portugal
Monaco,2012,100000,The 500th anniversary of the foundation of Monaco's Sovereignty,https://www.coin-database.com/images/Monaco/2981-v.jpg,0,69.0,Monaco
Malta,2012,405000,1887 Majority Representation,https://www.coin-database.com/images/Malta/307-v.jpg,0,10.8,Malta
Finland,2012,2000000,150th Anniversary of the Birth of Helene Schjerfbeck,https://www.coin-database.com/images/Finland/2982-v.jpg,0,5.5,Suomi/Finland
Slovakia,2013,1010300,1150th anniversary of the advent of the mission of Cyril and Methodius to Great Moravia,https://www.coin-database.com/images/Slovakia/312-v.jpg,0,3.5,Slovensko
Malta,2013,542500,1921 Self Government,https://www.coin-database.com/images/Malta/313-v.jpg,0,5.9,Malta
France,2013,1020000,150th Anniversary of Pierre de Coubertin`s Birth,https://www.coin-database.com/images/France/3217-v.jpg,0,4.9,France
Italy,2013,10000000,700th Anniversary of the Birth of Giovanni Boccaccio,https://www.coin-database.com/images/Italy/3218-v.jpg,1,3.9,Italia
Italy,2013,10000000,200th Anniversary of the Birth of Giuseppe Verdi,https://www.coin-database.com/images/Italy/3219-v.jpg,0,3.9,Italia
Vatican City,2013,89000,World Youth Day 2013 - Rio,https://www.coin-database.com/images/Vatican-City/3228-v.jpg,0,45.0,Vatican City
Greece,2013,750000,100th Anniversary of the union of Crete with Greece,https://www.coin-database.com/images/Greece/3372-v.jpg,0,6.5,Elláda
Greece,2013,750000,The 2400th Anniversary of the founding of Plato’s Academy,https://www.coin-database.com/images/Greece/3375-v.jpg,1,6.9,Elláda
Germany,2013,11000000,50 Years of the Élysée Treaty,https://www.coin-database.com/images/Germany/2879-v.jpg,0,3.9,Deutschland
France,2013,11000000,50 Years of the Élysée Treaty,https://www.coin-database.com/images/France/3061-v.jpg,1,4.5,France
Spain,2013,8000000,The Royal Seat of San Lorenzo de El Escorial,https://www.coin-database.com/images/Spain/3045-v.jpg,0,3.9,España
Slovenia,2013,1000000,800th Anniversary of the First Visit of the Postojna Cave,https://www.coin-database.com/images/Slovenia/2324-v.jpg,0,6.9,Slovenija
Netherlands,2013,20035000,The Double Portrait,https://www.coin-database.com/images/Netherlands/3256-v.jpg,0,3.5,Nederland
Germany,2013,3000000,Baden-Württemberg: Kloster Maulbronn,https://www.coin-database.com/img/2euro/2013de-v.jpg,1,3.5,Deutschland
Portugal,2013,525000,250 Years of the Torre dos Clérigos,https://www.coin-database.com/images/Portugal/3002-v.jpg,0,5.2,Portugal
Vatican City,2013,125000,Sede Vacante MMXIII,https://www.coin-database.com/images/Vatican-City/3333-v.jpg,1,59.0,Vatican City
Monaco,2013,1249000,20 years membership of the United Nations,https://www.coin-database.com/images/Monaco/3348-v.jpg,0,10.5,Monaco
Belgium,2013,2010000,100 years of the Royal Meteorological Institute,https://www.coin-database.com/images/Belgium/3046-v.jpg,0,4.6,Belgique/België
Luxembourg,2013,1400000,The National Anthem,https://www.coin-database.com/images/Luxembourg/3129-v.jpg,0,4.1,Luxembourg
San Marino,2013,115000,The 500th Anniversary of the Death of Malers Pinturicchio,https://www.coin-database.com/images/San-Marino/3132-v.jpg,0,34.9,San Marino
Finland,2013,1000000,150th Anniversary of Parliament of 1863,https://www.coin-database.com/images/Finland/3373-v.jpg,1,5.5,Suomi/Finland
Finland,2013,1500000,125th Anniversary of the birth of Nobel prize winning author F.E.Sillanpaa,https://www.coin-database.com/images/Finland/3374-v.jpg,0,3.99,Suomi/Finland
Netherlands,2013,1286500,200 Years of Kingdom,https://www.coin-database.com/images/Netherlands/3200-v.jpg,1,3.5,Nederland
Malta,2014,407500,50 Years of Independence,https://www.coin-database.com/images/Malta/316-v.jpg,0,4.9,Malta
Italy,2014,6500000,450th Anniversary of the birth of Galileo Galilei,https://www.coin-database.com/images/Italy/3466-v.jpg,0,4.9,Italia
Italy,2014,6525000,200th Anniversary of the Carabinieri,https://www.coin-database.com/images/Italy/3467-v.jpg,1,4.5,Italia
Luxembourg,2014,510000,175 Years of Independence of Luxembourg,https://www.coin-database.com/images/Luxembourg/3475-v.jpg,1,4.2,Luxembourg
Spain,2014,8015000,Works of Antoni Gaudí,https://www.coin-database.com/images/Spain/3480-v.jpg,1,4.5,España
